timestamp,host,latency_ms
2025-07-06T07:14:24.941225,8.8.8.8,30.0
2025-07-06T07:14:24.941693,1.1.1.1,5.0
2025-07-06T07:14:24.942104,cloudflare.com,7.0
2025-07-06T07:14:24.954673,ec2.ap-southeast-2.amazonaws.com,41.0
2025-07-06T07:14:24.955208,208.67.222.222,29.0
2025-07-06T07:14:25.123045,8.8.8.8,31.0
2025-07-06T07:14:25.123483,1.1.1.1,6.0
2025-07-06T07:14:25.123793,cloudflare.com,8.0
2025-07-06T07:14:25.139446,ec2.ap-southeast-2.amazonaws.com,42.0
2025-07-06T07:14:25.139852,208.67.222.222,26.0
2025-07-06T07:14:25.335153,8.8.8.8,36.0
2025-07-06T07:14:25.335736,1.1.1.1,7.0
2025-07-06T07:14:25.336131,cloudflare.com,7.0
2025-07-06T07:14:25.339544,ec2.ap-southeast-2.amazonaws.com,39.0
2025-07-06T07:14:25.339985,208.67.222.222,31.0
2025-07-06T07:14:25.507311,8.8.8.8,31.0
2025-07-06T07:14:25.507760,1.1.1.1,7.0
2025-07-06T07:14:25.508149,cloudflare.com,7.0
2025-07-06T07:14:25.521246,ec2.ap-southeast-2.amazonaws.com,41.0
2025-07-06T07:14:25.521671,208.67.222.222,29.0
2025-07-06T07:14:25.687137,8.8.8.8,29.0
2025-07-06T07:14:25.687568,1.1.1.1,5.0
2025-07-06T07:14:25.687960,cloudflare.com,9.0
2025-07-06T07:14:25.705498,ec2.ap-southeast-2.amazonaws.com,43.0
2025-07-06T07:14:25.705957,208.67.222.222,27.0
2025-07-06T07:14:25.870957,8.8.8.8,30.0
2025-07-06T07:14:25.871444,1.1.1.1,6.0
2025-07-06T07:14:25.871899,cloudflare.com,6.0
2025-07-06T07:14:25.885778,ec2.ap-southeast-2.amazonaws.com,40.0
2025-07-06T07:14:25.886237,208.67.222.222,29.0
2025-07-06T07:14:26.055074,8.8.8.8,32.0
2025-07-06T07:14:26.055426,1.1.1.1,7.0
2025-07-06T07:14:26.055817,cloudflare.com,7.0
2025-07-06T07:14:26.069736,ec2.ap-southeast-2.amazonaws.com,41.0
2025-07-06T07:14:26.070161,208.67.222.222,29.0
2025-07-06T07:14:26.251393,8.8.8.8,29.0
2025-07-06T07:14:26.251850,1.1.1.1,7.0
2025-07-06T07:14:26.252224,cloudflare.com,5.0
2025-07-06T07:14:26.256759,ec2.ap-southeast-2.amazonaws.com,40.0
2025-07-06T07:14:26.257184,208.67.222.222,28.0
2025-07-06T07:14:26.429297,8.8.8.8,33.0
2025-07-06T07:14:26.429962,1.1.1.1,11.0
2025-07-06T07:14:26.431162,cloudflare.com,8.0
2025-07-06T07:14:26.444269,ec2.ap-southeast-2.amazonaws.com,43.0
2025-07-06T07:14:26.444909,208.67.222.222,30.0
2025-07-06T07:14:26.621786,8.8.8.8,31.0
2025-07-06T07:14:26.622420,1.1.1.1,7.0
2025-07-06T07:14:26.623006,cloudflare.com,6.0
2025-07-06T07:14:26.637132,ec2.ap-southeast-2.amazonaws.com,41.0
2025-07-06T07:14:26.637699,208.67.222.222,29.0
2025-07-06T07:14:26.814327,8.8.8.8,29.0
2025-07-06T07:14:26.814843,1.1.1.1,8.0
2025-07-06T07:14:26.815283,cloudflare.com,4.0
2025-07-06T07:14:26.832501,ec2.ap-southeast-2.amazonaws.com,40.0
2025-07-06T07:14:26.833095,208.67.222.222,29.0
2025-07-06T07:14:27.016781,8.8.8.8,33.0
2025-07-06T07:14:27.017375,1.1.1.1,5.0
2025-07-06T07:14:27.017786,cloudflare.com,7.0
2025-07-06T07:14:27.030121,ec2.ap-southeast-2.amazonaws.com,41.0
2025-07-06T07:14:27.030631,208.67.222.222,29.0
2025-07-06T07:14:27.208355,8.8.8.8,30.0
2025-07-06T07:14:27.208927,1.1.1.1,7.0
2025-07-06T07:14:27.209480,cloudflare.com,6.0
2025-07-06T07:14:27.231214,ec2.ap-southeast-2.amazonaws.com,49.0
2025-07-06T07:14:27.231756,208.67.222.222,28.0
2025-07-06T07:14:27.414711,8.8.8.8,29.0
2025-07-06T07:14:27.415337,1.1.1.1,6.0
2025-07-06T07:14:27.415934,cloudflare.com,7.0
2025-07-06T07:14:27.421375,ec2.ap-southeast-2.amazonaws.com,41.0
2025-07-06T07:14:27.421938,208.67.222.222,27.0
2025-07-06T07:14:27.575679,8.8.8.8,timeout
2025-07-06T07:14:27.577916,1.1.1.1,7.0
2025-07-06T07:14:27.582176,cloudflare.com,9.0
2025-07-06T07:14:27.613736,ec2.ap-southeast-2.amazonaws.com,41.0
2025-07-06T07:14:27.614400,208.67.222.222,28.0
2025-07-06T07:14:27.788545,8.8.8.8,29.0
2025-07-06T07:14:27.789049,1.1.1.1,5.0
2025-07-06T07:14:27.789598,cloudflare.com,7.0
2025-07-06T07:14:27.807758,ec2.ap-southeast-2.amazonaws.com,40.0
2025-07-06T07:14:27.808363,208.67.222.222,27.0
2025-07-06T07:14:27.981403,8.8.8.8,31.0
2025-07-06T07:14:27.982072,1.1.1.1,6.0
2025-07-06T07:14:27.982667,cloudflare.com,8.0
2025-07-06T07:14:27.998234,ec2.ap-southeast-2.amazonaws.com,42.0
2025-07-06T07:14:27.998821,208.67.222.222,29.0
2025-07-06T07:14:28.176419,8.8.8.8,31.0
2025-07-06T07:14:28.176946,1.1.1.1,7.0
